sponsor,sponsor_image_path,site_link
AWS,/assets/img/sponsors/aws.jpg,https://aws.amazon.com/?trk=e3235325-faab-48f9-83f9-b91c1d8e2755&sc_channel=el
AZUL,/assets/img/sponsors/azul-3.jpg,https://www.azul.com/
CHAINGUARD,/assets/img/sponsors/chainguard-01.jpg,https://www.chainguard.dev/
CodeLogic,/assets/img/sponsors/codelogic.jpg,https://codelogic.com/
Cockroach Labs,/assets/img/sponsors/cockroach-1.jpg,https://www.cockroachlabs.com/
Datadog,/assets/img/sponsors/DATADOG.jpeg,https://www.datadoghq.com/
HeroDevs,/assets/img/sponsors/herodevs-01.jpg,https://www.herodevs.com/?utm_source=conference&utm_medium=event-page&utm_campaign=2026-devnexus-conf-page
IBM,/assets/img/sponsors/IBM.001.jpeg,https://www.ibm.com/
Jet Brains,/assets/img/sponsors/jetbrains-01.jpg,https://jb.gg/IntelliJIDEA-AJUG
Microsoft,/assets/img/sponsors/microsoft-01.jpg,https://www.microsoft.com/en-us/
Neo4j,/assets/img/sponsors/neo4j-01.jpg,https://neo4j.com/developer/
Outsystems,/assets/img/sponsors/outsystems.jpg,https://outsystems.com/
RedHat,/assets/img/sponsors/Red Hat2.001.png,https://developers.redhat.com/
TuxCare,/assets/img/sponsors/tuxcare.jpg,https://tuxcare.com
VMware,/assets/img/sponsors/download-5.jpg,https://tanzu.vmware.com/